	BSMC_V22_0112300	BSMC_V22_0531600	BSMC_V22_0725600	BSMC_V22_1148600	BSMC_V22_1371000	BSMC_V22_0112700	BSMC_V22_0532000	BSMC_V22_0726000	BSMC_V22_0801100	BSMC_V22_0830200	BSMC_V22_1148640	BSMC_V22_1371300	BSMC_V22_0112500	BSMC_V22_0531800	BSMC_V22_0725800	BSMC_V22_0801200	BSMC_V22_0830000	BSMC_V22_1148620
T1	304.59851	12.25493	138.08661	20.04366	429.21093	0.18457	2.86115	32.07815	0.18572	0.35756	0.64876	0.10055	0.60797	0.54348	147.86943	190.95831	0.56922	315.19313
T2	344.02967	25.08355	90.00025	21.95388	391.28226	0.19396	2.94168	17.11556	0.2146	0.83386	0.76116	0.12415	0.71478	0.66713	172.34547	167.86253	0.36532	243.55978
T3	310.85245	16.3355	61.28802	18.89597	425.92102	0.15411	3.38172	15.65412	0.15514	1.12257	0.62938	0.04683	1.02594	0.42919	225.79394	320.26576	0.37159	149.64861
T4	414.61405	14.51921	99.96329	20.36692	349.54089	0.17725	2.73851	12.46066	0.09149	0.69625	0.57542	0.15679	0.63274	0.45362	200.84179	212.34487	0.44153	212.59667
T5	362.51994	11.47167	98.97102	20.66847	409.0839	0.3715	1.18142	14.1339	0.19058	0.48334	-0.01186	0.15833	0.93718	0.46925	152.93487	47.31686	0.38297	244.15802
T6	404.12525	2.35605	126.85191	18.54978	410.31316	0.20046	2.43328	12.2039	0.27078	0.23493	0.91165	0.12797	0.7465	0.60644	159.25481	156.47774	0.43082	191.56184
T7	283.6727	18.52908	107.25789	15.26842	446.35236	0.08431	2.23835	18.43736	0.13204	0.67651	1.1846	0.04254	1.03336	0.71636	230.2013	245.61163	0.54255	328.15069
T8	375.84633	14.90394	178.03838	16.73413	369.46625	0.13814	1.64156	23.94485	0.16601	0.75518	1.60286	0.11978	0.66835	0.32914	193.33682	81.96683	0.31773	257.10496
T9	377.6504	12.59551	154.75328	18.67546	354.28937	0.16833	2.42042	14.04565	0.07232	0.79218	0.50268	0.15642	0.546	0.36314	162.83835	315.00093	0.94562	340.52255
T10	338.18694	23.6003	215.02395	13.21009	439.96357	0.27243	4.11072	40.77411	0.11701	0.63205	0.42709	0.14711	0.49382	0.57055	154.84386	299.67514	0.52635	228.38086
